soil_moisture,temperature,soil_humidity,Time,air_temp,wind_speed,air_humidity,wind_gust,pressure_kpa,ph,rainfall,nitrogen,phosphorus,potassium,Status,needs_water,status_label,client_id,timestamp,hour,dayofyear,sowing_date,current_date,days_after_sowing,growth_stage
5,23,27,4,21.44,5.8,28.38,22.67,101.46,7.375482851,224.0581164,98.0,47.0,37.0,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000004,0.0,1.0,2024-01-01,2024-01-25,24,germination
10,28,30,75,21.49,5.66,27.03,23.08,101.45,7.778915154,257.0038865,66.0,53.0,41.0,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000075,0.0,1.0,2024-01-01,2024-01-26,25,germination
25,13,66,50,21.56,7.11,26.62,36.03,101.44,6.286500176,271.3586137,97.0,59.0,43.0,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000050,0.0,1.0,2024-01-01,2024-01-27,26,germination
20,45,61,83,21.62,8.56,26.22,48.98,101.43,7.070959995,260.2634026,97.0,50.0,41.0,ON,1.0,ON,1.0,1970-01-01 00:00:00.000000083,0.0,1.0,2024-01-01,2024-01-28,27,germination
40,29,39,98,21.66,8.89,25.72,48.02,101.42,6.244841491,240.0810647,60.0,49.0,44.0,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000098,0.0,1.0,2024-01-01,2024-01-29,28,germination
26,13,70,71,21.69,9.21,25.21,47.06,101.41,6.043304899,197.9791215,84.0,51.0,35.0,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000071,0.0,1.0,2024-01-01,2024-01-30,29,germination
71,6,59,88,21.48,8.76,25.8,46.17,101.4,5.824709117,272.2017204,73.0,57.0,41.0,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000088,0.0,1.0,2024-01-01,2024-01-31,30,germination
37,21,24,22,21.28,8.32,26.39,45.28,101.4,6.357389366,200.0882787,92.0,35.0,40.0,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000022,0.0,1.0,2024-01-01,2024-02-01,31,vegetative
76,12,47,51,21.3,8.61,25.53,46.64,101.39,6.364134968,224.6757231,85.0,37.0,39.0,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000051,0.0,1.0,2024-01-01,2024-02-02,32,vegetative
44,24,45,82,21.32,8.9,24.67,48.0,101.38,5.01450727,270.4417274,98.0,53.0,38.0,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000082,0.0,1.0,2024-01-01,2024-02-03,33,vegetative
24,8,47,38,21.28,8.22,24.32,45.43,101.38,6.149410611,233.1321372,88.0,54.0,44.0,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000038,0.0,1.0,2024-01-01,2024-02-04,34,vegetative
70,6,63,90,21.24,7.53,23.96,42.86,101.37,5.950660556,193.3473987,95.0,55.0,42.0,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000090,0.0,1.0,2024-01-01,2024-02-05,35,vegetative
32,23,28,84,21.2,7.7,23.81,42.14,101.36,5.960370061,272.2999056,99.0,57.0,35.0,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000084,0.0,1.0,2024-01-01,2024-02-06,36,vegetative
44,24,39,77,21.16,7.87,23.66,41.43,101.36,5.561398642,285.2493645,95.0,39.0,36.0,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000077,0.0,1.0,2024-01-01,2024-02-07,37,vegetative
4,45,49,32,21.13,8.04,23.5,40.72,101.35,7.416245107,298.4018471,60.0,43.0,44.0,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000032,0.0,1.0,2024-01-01,2024-02-08,38,vegetative
63,40,48,89,21.09,8.21,23.35,40.0,101.35,5.583370042,257.0343554,63.0,44.0,41.0,ON,1.0,ON,1.0,1970-01-01 00:00:00.000000089,0.0,1.0,2024-01-01,2024-02-09,39,vegetative
49,29,55,4,21.1,8.33,23.09,41.54,101.35,6.430010215,248.7183228,62.0,42.0,36.0,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000004,0.0,1.0,2024-01-01,2024-02-10,40,vegetative
26,32,70,73,21.11,8.46,22.84,43.08,101.34,5.534878156,209.9001977,64.0,45.0,43.0,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000073,0.0,1.0,2024-01-01,2024-02-11,41,vegetative
58,32,38,91,21.12,8.58,22.58,44.61,101.34,6.903985986,200.834898,83.0,60.0,36.0,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000091,0.0,1.0,2024-01-01,2024-02-12,42,vegetative
45,0,69,87,21.13,8.7,22.32,46.15,101.34,6.271478838,298.5601175,82.0,40.0,40.0,OFF,0.0,OFF,1.0,1970-01-01 00:00:00.000000087,0.0,1.0,2024-01-01,2024-02-13,43,vegetative
37,7,32,76,20.94,7.26,22.58,38.26,101.34,7.224285503,265.5355937,85.0,52.0,45.0,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000076,0.0,1.0,2024-01-01,2024-02-14,44,vegetative
16,44,57,93,20.76,5.82,22.83,30.38,101.34,6.13428721,183.6793207,91.0,35.0,38.0,OFF,1.0,OFF,0.0,1970-01-01 00:00:00.000000093,0.0,1.0,2024-01-01,2024-02-15,45,vegetative
75,2,31,96,20.56,5.31,23.4,27.83,101.34,5.206373153,196.9560008,76.0,49.0,42.0,OFF,0.0,OFF,1.0,1970-01-01 00:00:00.000000096,0.0,1.0,2024-01-01,2024-02-16,46,vegetative
82,16,62,33,20.36,4.8,23.97,25.28,101.34,7.782051313,233.0453455,74.0,39.0,38.0,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000033,0.0,1.0,2024-01-01,2024-02-17,47,vegetative
72,28,21,92,20.15,4.28,24.54,22.72,101.33,7.062779015,210.8142087,79.0,43.0,39.0,OFF,0.0,OFF,1.0,1970-01-01 00:00:00.000000092,0.0,1.0,2024-01-01,2024-02-18,48,vegetative
53,1,51,32,19.95,3.77,25.11,20.17,101.33,7.730367824,253.7202781,88.0,55.0,45.0,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000032,0.0,1.0,2024-01-01,2024-02-19,49,vegetative
13,24,48,17,19.71,3.73,26.29,13.57,101.34,5.286203711,219.9048349,60.0,36.0,43.0,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000017,0.0,1.0,2024-01-01,2024-02-20,50,vegetative
41,18,34,86,19.47,3.69,27.47,6.96,101.34,6.766240045,208.5810155,76.0,60.0,39.0,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000086,0.0,1.0,2024-01-01,2024-02-21,51,vegetative
53,2,30,64,19.32,3.44,27.99,9.76,101.34,7.382762603,195.0948311,93.0,56.0,42.0,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000064,0.0,1.0,2024-01-01,2024-02-22,52,vegetative
76,14,48,58,19.18,3.18,28.51,12.57,101.34,5.658169482,227.3637009,65.0,60.0,43.0,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000058,0.0,1.0,2024-01-01,2024-02-23,53,vegetative
9,36,37,96,19.21,3.87,28.64,12.88,101.34,5.543360238,286.5083725,95.0,52.0,36.0,OFF,1.0,OFF,2.0,1970-01-01 00:00:00.000000096,0.0,1.0,2024-01-01,2024-02-24,54,vegetative
66,1,56,106,19.24,4.56,28.77,13.19,101.34,6.215109715,283.9338466,75.0,38.0,39.0,OFF,0.0,OFF,0.0,1970-01-01 00:00:00.000000106,0.0,1.0,2024-01-01,2024-02-25,55,vegetative
12,16,25,94,19.17,4.86,29.56,15.48,101.34,7.120272972,217.3788583,74.0,54.0,38.0,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000094,0.0,1.0,2024-01-01,2024-02-26,56,vegetative
29,10,67,50,19.1,5.16,30.36,17.78,101.33,5.950647577,267.9761948,91.0,36.0,45.0,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000050,0.0,1.0,2024-01-01,2024-02-27,57,vegetative
37,34,57,2,19.02,4.45,31.01,17.78,101.33,7.236705436,191.9535738,71.0,46.0,40.0,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000002,0.0,1.0,2024-01-01,2024-02-28,58,vegetative
8,28,67,10,18.93,3.74,31.66,17.78,101.33,6.501697816,277.9626192,99.0,55.0,35.0,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000010,0.0,1.0,2024-01-01,2024-02-29,59,vegetative
55,1,68,37,18.74,3.55,31.96,13.49,101.33,7.592490617,245.1511304,72.0,40.0,38.0,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000037,0.0,1.0,2024-01-01,2024-03-01,60,vegetative
9,1,32,101,18.55,3.35,32.25,9.2,101.33,5.875345751,245.6626799,83.0,58.0,45.0,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000101,0.0,1.0,2024-01-01,2024-03-02,61,flowering
41,27,23,63,18.63,4.05,31.86,10.32,101.33,6.932400225,279.5451717,93.0,58.0,38.0,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000063,0.0,1.0,2024-01-01,2024-03-03,62,flowering
31,8,33,43,18.71,4.75,31.47,11.43,101.33,6.946209881,202.3838319,70.0,36.0,42.0,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000043,0.0,1.0,2024-01-01,2024-03-04,63,flowering
80,38,52,12,18.87,4.7,30.63,14.41,101.34,5.739175027,263.6372176,76.0,47.0,42.0,OFF,1.0,OFF,1.0,1970-01-01 00:00:00.000000012,0.0,1.0,2024-01-01,2024-03-05,64,flowering
7,27,59,107,19.03,4.64,29.79,17.39,101.34,6.738652179,182.5616319,99.0,41.0,36.0,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000107,0.0,1.0,2024-01-01,2024-03-06,65,flowering
13,4,41,23,19.02,4.39,29.64,19.8,101.34,5.594819626,198.6730942,99.0,54.0,37.0,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000023,0.0,1.0,2024-01-01,2024-03-07,66,flowering
42,18,36,39,19.0,4.14,29.5,22.22,101.35,6.946636369,243.5120414,86.0,59.0,35.0,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000039,0.0,1.0,2024-01-01,2024-03-08,67,flowering
72,21,26,63,19.04,4.35,29.16,23.32,101.35,5.012139669,263.1103304,69.0,46.0,41.0,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000063,0.0,1.0,2024-01-01,2024-03-09,68,flowering
21,33,21,5,19.07,4.57,28.81,24.43,101.35,6.363472208,269.5039162,91.0,56.0,37.0,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000005,0.0,1.0,2024-01-01,2024-03-10,69,flowering
14,4,51,28,19.11,4.78,28.47,25.53,101.35,6.880431223,204.8001847,61.0,52.0,41.0,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000028,0.0,1.0,2024-01-01,2024-03-11,70,flowering
16,19,51,40,19.11,4.28,28.2,22.9,101.35,7.300410836,260.8875056,67.0,45.0,38.0,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000040,0.0,1.0,2024-01-01,2024-03-12,71,flowering
11,9,26,104,19.1,3.78,27.92,20.26,101.36,6.587918708,295.6094492,79.0,42.0,37.0,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000104,0.0,1.0,2024-01-01,2024-03-13,72,flowering
7,17,52,17,19.1,3.28,27.65,17.63,101.36,7.283736617,192.3197536,78.0,43.0,42.0,OFF,0.0,OFF,1.0,1970-01-01 00:00:00.000000017,0.0,1.0,2024-01-01,2024-03-14,73,flowering
56,3,64,90,19.1,2.78,27.38,15.0,101.37,7.023936392,257.4914906,75.0,54.0,36.0,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000090,0.0,1.0,2024-01-01,2024-03-15,74,flowering
42,19,55,11,18.87,2.01,27.66,11.76,101.37,6.939083505,278.0791793,97.0,36.0,45.0,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000011,0.0,1.0,2024-01-01,2024-03-16,75,flowering
78,41,70,62,18.64,1.25,27.93,8.51,101.37,7.868474653,280.4044392,67.0,47.0,44.0,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000062,0.0,1.0,2024-01-01,2024-03-17,76,flowering
16,37,48,48,18.48,1.41,28.11,9.76,101.36,5.005306977,185.9461429,73.0,35.0,38.0,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000048,0.0,1.0,2024-01-01,2024-03-18,77,flowering
87,14,21,86,18.31,1.57,28.29,11.01,101.36,6.136131869,194.5766559,77.0,36.0,37.0,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000086,0.0,1.0,2024-01-01,2024-03-19,78,flowering
22,22,55,94,18.46,1.6,27.32,9.73,101.36,7.524080076,200.9133156,81.0,41.0,38.0,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000094,0.0,1.0,2024-01-01,2024-03-20,79,flowering
77,41,47,89,18.62,1.62,26.36,8.45,101.37,5.706943251,182.9043504,68.0,57.0,43.0,ON,1.0,ON,4.0,1970-01-01 00:00:00.000000089,0.0,1.0,2024-01-01,2024-03-21,80,flowering
45,31,65,15,18.72,2.07,25.4,12.74,101.38,5.758506323,195.3574542,72.0,45.0,35.0,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000015,0.0,1.0,2024-01-01,2024-03-22,81,flowering
84,39,50,21,18.81,2.52,24.45,17.02,101.38,6.349606327,223.3671883,61.0,53.0,43.0,OFF,1.0,OFF,4.0,1970-01-01 00:00:00.000000021,0.0,1.0,2024-01-01,2024-03-23,82,flowering
12,3,43,34,19.04,2.4,23.14,16.62,101.38,5.999969026,186.7536773,67.0,43.0,39.0,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000034,0.0,1.0,2024-01-01,2024-03-24,83,flowering
17,40,57,5,19.27,2.27,21.83,16.22,101.39,5.453592032,220.1156708,67.0,58.0,39.0,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000005,0.0,1.0,2024-01-01,2024-03-25,84,flowering
12,35,34,1,19.36,2.78,21.06,17.78,101.4,6.372576327,231.7364957,66.0,60.0,38.0,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000001,0.0,1.0,2024-01-01,2024-03-26,85,flowering
6,40,44,92,19.45,3.29,20.29,19.35,101.41,5.105588355,242.3170629,82.0,43.0,38.0,OFF,1.0,OFF,0.0,1970-01-01 00:00:00.000000092,0.0,1.0,2024-01-01,2024-03-27,86,flowering
21,4,48,39,19.42,3.01,20.58,15.58,101.42,5.935344406,182.6549356,84.0,50.0,44.0,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000039,0.0,1.0,2024-01-01,2024-03-28,87,flowering
71,41,49,11,19.38,2.73,20.88,11.82,101.43,5.17782304,233.7034975,81.0,53.0,42.0,OFF,1.0,OFF,3.0,1970-01-01 00:00:00.000000011,0.0,1.0,2024-01-01,2024-03-29,88,flowering
17,27,40,15,19.33,2.82,21.33,12.31,101.44,6.462391607,230.2242223,91.0,50.0,40.0,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000015,0.0,1.0,2024-01-01,2024-03-30,89,flowering
67,24,31,79,19.28,2.9,21.78,12.8,101.44,7.069172227,290.6793783,93.0,53.0,38.0,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000079,0.0,1.0,2024-01-01,2024-03-31,90,flowering
34,24,63,84,19.24,2.98,22.22,13.3,101.44,7.473134377,241.2013513,90.0,44.0,38.0,OFF,0.0,OFF,0.0,1970-01-01 00:00:00.000000084,0.0,1.0,2024-01-01,2024-04-01,91,harvest
68,13,57,105,19.19,3.07,22.67,13.79,101.45,6.158376967,218.9163567,81.0,45.0,35.0,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000105,0.0,1.0,2024-01-01,2024-04-02,92,harvest
52,3,35,0,19.26,3.0,22.7,14.9,101.46,7.549873681,248.2256491,78.0,40.0,38.0,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000000,0.0,1.0,2024-01-01,2024-04-03,93,harvest
80,18,24,59,19.32,2.92,22.74,16.0,101.46,6.028321558,256.9964761,60.0,51.0,36.0,OFF,0.0,OFF,0.0,1970-01-01 00:00:00.000000059,0.0,1.0,2024-01-01,2024-04-04,94,harvest
11,11,29,7,19.6,3.24,22.42,16.63,101.46,6.604993475,194.2651719,88.0,46.0,42.0,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000007,0.0,1.0,2024-01-01,2024-04-05,95,harvest
63,27,26,22,19.89,3.57,22.11,17.27,101.46,6.500343222,295.9248796,93.0,47.0,37.0,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000022,0.0,1.0,2024-01-01,2024-04-06,96,harvest
88,43,58,86,20.28,3.55,22.04,17.8,101.46,5.935745417,287.5766935,60.0,55.0,45.0,ON,1.0,ON,1.0,1970-01-01 00:00:00.000000086,0.0,1.0,2024-01-01,2024-04-07,97,harvest
79,21,58,71,20.68,3.53,21.97,18.32,101.47,7.072655622,183.6222657,78.0,35.0,44.0,OFF,0.0,OFF,1.0,1970-01-01 00:00:00.000000071,0.0,1.0,2024-01-01,2024-04-08,98,harvest
2,37,30,28,21.21,3.66,21.44,18.76,101.48,5.333322606,188.413665,65.0,37.0,40.0,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000028,0.0,1.0,2024-01-01,2024-04-09,99,harvest
49,33,61,72,21.74,3.78,20.9,19.2,101.49,5.749914421,87.75953857,71.0,54.0,16.0,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000072,0.0,1.0,2024-01-01,2024-04-10,100,harvest
64,27,58,94,22.44,3.43,20.58,18.24,101.49,6.931756558,102.2662445,61.0,44.0,17.0,OFF,0.0,OFF,0.0,1970-01-01 00:00:00.000000094,0.0,1.0,2024-01-01,2024-04-11,101,harvest
71,36,25,68,23.13,3.08,20.27,17.27,101.49,6.657964753,66.71995467,80.0,43.0,16.0,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000068,0.0,1.0,2024-01-01,2024-04-12,102,harvest
51,27,66,89,23.76,3.42,19.5,18.94,101.49,6.596060648,60.65171481,73.0,58.0,21.0,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000089,0.0,1.0,2024-01-01,2024-04-13,103,harvest
67,26,60,25,24.4,3.77,18.73,20.6,101.5,5.970458434,65.43835393,61.0,38.0,20.0,OFF,0.0,OFF,0.0,1970-01-01 00:00:00.000000025,0.0,1.0,2024-01-01,2024-04-14,104,harvest
12,0,63,2,25.04,4.12,17.96,22.27,101.5,6.158830619,102.0861694,68.0,41.0,16.0,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000002,0.0,1.0,2024-01-01,2024-04-15,105,harvest
67,3,44,95,25.67,4.46,17.2,23.94,101.51,6.047906679,105.4654703,93.0,41.0,17.0,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000095,0.0,1.0,2024-01-01,2024-04-16,106,harvest
54,31,49,88,26.3,4.81,16.43,25.6,101.52,5.913664501,78.06639649,89.0,60.0,19.0,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000088,0.0,1.0,2024-01-01,2024-04-17,107,harvest
49,33,31,86,26.94,5.15,15.66,27.27,101.52,5.855442401,65.27798457,76.0,44.0,17.0,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000086,0.0,1.0,2024-01-01,2024-04-18,108,harvest
24,29,34,36,27.38,6.86,14.2,33.98,101.52,5.750254943,109.2162279,67.0,60.0,25.0,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000036,0.0,1.0,2024-01-01,2024-04-19,109,harvest
27,18,38,21,27.83,8.57,12.75,40.68,101.52,5.852607099,94.29712821,70.0,44.0,19.0,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000021,0.0,1.0,2024-01-01,2024-04-20,110,harvest
50,35,20,18,28.14,8.46,12.24,35.16,101.52,6.472523287,74.05474936,90.0,49.0,21.0,ON,1.0,ON,2.0,1970-01-01 00:00:00.000000018,0.0,1.0,2024-01-01,2024-04-21,111,harvest
51,26,32,4,28.46,8.36,11.74,29.63,101.53,6.967057762,63.87020584,62.0,52.0,16.0,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000004,0.0,1.0,2024-01-01,2024-04-22,112,harvest
38,26,34,16,28.94,8.43,11.29,28.77,101.54,6.082973754,94.76189431,92.0,44.0,16.0,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000016,0.0,1.0,2024-01-01,2024-04-23,113,harvest
23,45,50,106,29.42,8.5,10.84,27.91,101.55,5.919045532,72.12375573,66.0,54.0,21.0,OFF,1.0,OFF,0.0,1970-01-01 00:00:00.000000106,0.0,1.0,2024-01-01,2024-04-24,114,harvest
27,29,60,88,29.82,8.72,10.43,36.17,101.55,6.204747653,63.72358154,63.0,58.0,22.0,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000088,0.0,1.0,2024-01-01,2024-04-25,115,harvest
72,39,21,87,30.22,8.95,10.02,44.44,101.55,6.600827017,104.1626147,70.0,47.0,17.0,ON,1.0,ON,1.0,1970-01-01 00:00:00.000000087,0.0,1.0,2024-01-01,2024-04-26,116,harvest
89,19,38,18,30.54,8.94,9.84,34.1,101.55,6.021902237,76.68456006,61.0,41.0,17.0,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000018,0.0,1.0,2024-01-01,2024-04-27,117,harvest
36,28,55,36,30.86,8.94,9.65,23.76,101.55,6.033550195,65.49730729,66.0,53.0,19.0,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000036,0.0,1.0,2024-01-01,2024-04-28,118,harvest
4,5,45,63,31.27,8.9,9.33,26.58,101.56,6.28886807,84.23613484,74.0,55.0,19.0,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000063,0.0,1.0,2024-01-01,2024-04-29,119,harvest
21,37,48,32,31.69,8.86,9.01,29.4,101.56,6.550563823,79.74078719,77.0,57.0,21.0,ON,1.0,ON,1.0,1970-01-01 00:00:00.000000032,0.0,1.0,2024-01-01,2024-04-30,120,harvest
8,37,58,103,32.1,8.82,8.7,32.22,101.56,5.573286437,88.07753741,99.0,50.0,15.0,OFF,1.0,OFF,3.0,1970-01-01 00:00:00.000000103,0.0,1.0,2024-01-01,2024-05-01,121,harvest
