soil_moisture,temperature,soil_humidity,Time,air_temp,wind_speed,air_humidity,wind_gust,pressure_kpa,ph,rainfall,nitrogen,phosphorus,potassium,Status,needs_water,status_label,client_id,timestamp,hour,dayofyear
56.0,11.0,36.0,12.0,,,,,,,,,,,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000012,0.0,1.0
9.0,32.0,51.0,46.0,,,,,,,,,,,ON,1.0,ON,2.0,1970-01-01 00:00:00.000000046,0.0,1.0
66.0,21.0,53.0,52.0,,,,,,,,,,,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000052,0.0,1.0
53.0,18.0,32.0,53.0,21.43,11.91,84.3,56.48,100.95,,,,,,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000053,0.0,1.0
21.0,25.0,31.0,49.0,,,,,,,,,,,OFF,1.0,OFF,0.0,1970-01-01 00:00:00.000000049,0.0,1.0
89.0,24.0,69.0,35.0,,,,,,,,,,,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000035,0.0,1.0
40.0,32.0,69.0,83.0,,,,,,,,,,,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000083,0.0,1.0
33.0,22.0,26.0,97.0,11.97,0.4,75.92,1.85,101.49,,,,,,OFF,1.0,OFF,4.0,1970-01-01 00:00:00.000000097,0.0,1.0
60.0,25.0,31.0,78.0,,,,,,,,,,,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000078,0.0,1.0
55.0,17.0,20.0,25.0,,,,,,,,,,,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000025,0.0,1.0
19.0,43.0,26.0,109.0,,,,,,,,,,,OFF,1.0,OFF,3.0,1970-01-01 00:00:00.000000109,0.0,1.0
82.0,29.0,20.0,96.0,,,,,,,,,,,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000096,0.0,1.0
47.0,21.0,39.0,54.0,,,,,,,,,,,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000054,0.0,1.0
32.0,40.0,70.0,29.0,18.2,6.66,83.88,18.6,101.17,,,,,,ON,1.0,ON,2.0,1970-01-01 00:00:00.000000029,0.0,1.0
37.0,28.0,38.0,29.0,,,,,,,,,,,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000029,0.0,1.0
37.0,40.0,39.0,4.0,,,,,,,,,,,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000004,0.0,1.0
63.0,13.0,39.0,54.0,18.7,7.0,94.55,24.24,101.13,,,,,,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000054,0.0,1.0
36.0,18.0,68.0,67.0,,,,,,,,,,,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000067,0.0,1.0
67.0,31.0,51.0,48.0,,,,,,,,,,,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000048,0.0,1.0
48.0,6.0,33.0,31.0,,,,,,,,,,,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000031,0.0,1.0
65.0,25.0,45.0,31.0,18.23,9.7,96.0,20.53,100.88,,,,,,OFF,0.0,OFF,1.0,1970-01-01 00:00:00.000000031,0.0,1.0
53.0,28.0,64.0,49.0,,,,,,,,,,,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000049,0.0,1.0
42.0,15.0,57.0,15.0,,,,,,,,,,,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000015,0.0,1.0
37.0,19.0,62.0,51.0,17.92,8.34,96.0,35.62,101.02,,,,,,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000051,0.0,1.0
60.137694793588516,20.04158057874131,53.932964849031755,,23.583051624075853,,50.80134508609829,,,6.152603241794193,155.02610714225392,124.0,64.0,60.0,,0.0,,,,21.0,1.0
31.0,2.0,40.0,105.0,,,,,,,,,,,OFF,1.0,OFF,4.0,1970-01-01 00:00:00.000000105,0.0,1.0
37.0,3.0,33.0,38.0,,,,,,,,,,,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000038,0.0,1.0
60.0,1.0,31.0,63.0,,,,,,,,,,,OFF,0.0,OFF,0.0,1970-01-01 00:00:00.000000063,0.0,1.0
16.0,44.0,47.0,66.0,,,,,,,,,,,ON,1.0,ON,4.0,1970-01-01 00:00:00.000000066,0.0,1.0
46.0,12.0,40.0,72.0,,,,,,,,,,,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000072,0.0,1.0
42.0,35.0,60.0,15.0,20.31,10.92,83.66,48.17,101.0,,,,,,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000015,0.0,1.0
14.0,36.0,46.0,88.0,,,,,,,,,,,ON,1.0,ON,4.0,1970-01-01 00:00:00.000000088,0.0,1.0
53.0,21.0,35.0,110.0,,,,,,,,,,,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000110,0.0,1.0
50.0,27.0,28.0,58.0,33.1,15.24,17.52,64.1,100.7,,,,,,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000058,0.0,1.0
75.0,10.0,69.0,58.0,,,,,,,,,,,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000058,0.0,1.0
71.0,18.0,20.0,10.0,20.32,14.06,66.16,80.0,101.05,,,,,,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000010,0.0,1.0
50.0,21.0,29.0,42.0,19.5,10.24,96.0,48.0,101.08,,,,,,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000042,0.0,1.0
58.0,5.0,26.0,77.0,,,,,,,,,,,OFF,0.0,OFF,0.0,1970-01-01 00:00:00.000000077,0.0,1.0
55.0,40.0,25.0,64.0,,,,,,,,,,,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000064,0.0,1.0
7.0,42.0,41.0,22.0,,,,,,,,,,,ON,1.0,ON,1.0,1970-01-01 00:00:00.000000022,0.0,1.0
37.0,19.0,39.0,49.0,,,,,,,,,,,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000049,0.0,1.0
83.0,36.0,51.0,50.0,,,,,,,,,,,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000050,0.0,1.0
74.0,40.0,23.0,44.0,,,,,,,,,,,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000044,0.0,1.0
51.0,9.0,49.0,105.0,31.75,11.76,40.29,22.43,100.79,,,,,,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000105,0.0,1.0
81.0,30.0,30.0,38.0,,,,,,,,,,,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000038,0.0,1.0
23.0,5.0,56.0,43.0,,,,,,,,,,,OFF,1.0,OFF,1.0,1970-01-01 00:00:00.000000043,0.0,1.0
16.0,31.0,49.0,79.0,24.62,7.44,6.13,37.72,101.68,6.721835879,149.9107557,54.0,65.0,47.0,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000079,0.0,1.0
84.84580281805343,28.536112211450398,76.62792636403564,,26.930239843794393,,76.24975297886407,,,7.149771685703502,189.0297913001169,122.0,50.0,53.0,,0.0,,,,11.0,1.0
74.0,43.0,55.0,103.0,,,,,,,,,,,OFF,0.0,OFF,1.0,1970-01-01 00:00:00.000000103,0.0,1.0
88.0,37.0,68.0,43.0,,,,,,,,,,,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000043,0.0,1.0
81.0,31.0,43.0,80.0,,,,,,,,,,,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000080,0.0,1.0
26.0,34.0,53.0,103.0,22.48,12.97,76.7,62.43,101.41,,,,,,OFF,1.0,OFF,3.0,1970-01-01 00:00:00.000000103,0.0,1.0
20.0,16.0,32.0,13.0,34.53,17.77,39.34,71.78,100.97,,,,,,OFF,1.0,OFF,3.0,1970-01-01 00:00:00.000000013,0.0,1.0
49.0,29.0,35.0,32.0,,,,,,,,,,,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000032,0.0,1.0
29.0,0.0,42.0,86.0,,,,,,,,,,,OFF,1.0,OFF,2.0,1970-01-01 00:00:00.000000086,0.0,1.0
25.0,16.0,32.0,31.0,20.1,11.1,75.84,51.95,100.9,,,,,,OFF,1.0,OFF,1.0,1970-01-01 00:00:00.000000031,0.0,1.0
12.0,29.0,30.0,57.0,,,,,,,,,,,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000057,0.0,1.0
41.0,43.0,23.0,80.0,,,,,,,,,,,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000080,0.0,1.0
7.0,42.0,32.0,104.0,,,,,,,,,,,OFF,1.0,OFF,2.0,1970-01-01 00:00:00.000000104,0.0,1.0
13.0,8.0,68.0,84.0,18.32,9.37,85.55,40.68,101.22,,,,,,ON,1.0,ON,4.0,1970-01-01 00:00:00.000000084,0.0,1.0
23.0,5.0,62.0,108.0,,,,,,,,,,,OFF,1.0,OFF,3.0,1970-01-01 00:00:00.000000108,0.0,1.0
65.0,16.0,30.0,31.0,,,,,,,,,,,OFF,0.0,OFF,1.0,1970-01-01 00:00:00.000000031,0.0,1.0
8.0,3.0,57.0,84.0,,,,,,,,,,,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000084,0.0,1.0
28.0,16.0,53.0,102.0,,,,,,,,,,,OFF,1.0,OFF,0.0,1970-01-01 00:00:00.000000102,0.0,1.0
60.0,24.0,25.0,40.0,,,,,,,,,,,OFF,0.0,OFF,0.0,1970-01-01 00:00:00.000000040,0.0,1.0
17.0,1.0,28.0,20.0,29.14,15.32,31.69,56.1,101.28,,,,,,OFF,1.0,OFF,4.0,1970-01-01 00:00:00.000000020,0.0,1.0
37.0,26.0,49.0,102.0,,,,,,,,,,,OFF,0.0,OFF,1.0,1970-01-01 00:00:00.000000102,0.0,1.0
36.0,42.0,48.0,45.0,,,,,,,,,,,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000045,0.0,1.0
69.0,30.0,60.0,37.0,36.01,13.99,5.09,84.69,101.26,,,,,,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000037,0.0,1.0
13.0,28.0,32.0,109.0,,,,,,,,,,,OFF,1.0,OFF,3.0,1970-01-01 00:00:00.000000109,0.0,1.0
89.0,37.0,46.0,101.0,19.21,9.36,77.82,51.9,101.34,,,,,,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000101,0.0,1.0
29.0,36.0,52.0,77.0,28.58,11.84,2.65,51.08,101.02,7.324863481,46.13833007,37.0,71.0,16.0,ON,1.0,ON,1.0,1970-01-01 00:00:00.000000077,0.0,1.0
60.0,5.0,69.0,110.0,,,,,,,,,,,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000110,0.0,1.0
89.0,25.0,64.0,12.0,28.08,13.23,7.05,105.0,101.83,5.894027065,205.5720367,17.0,30.0,27.0,OFF,0.0,OFF,1.0,1970-01-01 00:00:00.000000012,0.0,1.0
11.0,18.0,54.0,18.0,,,,,,,,,,,ON,1.0,ON,1.0,1970-01-01 00:00:00.000000018,0.0,1.0
31.0,39.0,24.0,13.0,37.09,16.74,2.43,82.76,101.51,,,,,,ON,1.0,ON,1.0,1970-01-01 00:00:00.000000013,0.0,1.0
38.0,11.0,32.0,32.0,,,,,,,,,,,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000032,0.0,1.0
90.0,40.0,68.0,56.0,,,,,,,,,,,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000056,0.0,1.0
2.0,33.0,47.0,100.0,35.62,10.89,19.6,33.82,101.3,,,,,,OFF,1.0,OFF,2.0,1970-01-01 00:00:00.000000100,0.0,1.0
8.0,8.0,48.0,23.0,,,,,,,,,,,OFF,1.0,OFF,2.0,1970-01-01 00:00:00.000000023,0.0,1.0
79.0,4.0,43.0,102.0,,,,,,,,,,,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000102,0.0,1.0
48.0,2.0,57.0,98.0,,,,,,,,,,,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000098,0.0,1.0
62.0,6.0,33.0,86.0,,,,,,,,,,,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000086,0.0,1.0
39.0,19.0,52.0,46.0,38.74,19.22,2.03,68.57,101.25,,,,,,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000046,0.0,1.0
29.0,29.0,65.0,92.0,,,,,,,,,,,OFF,1.0,OFF,1.0,1970-01-01 00:00:00.000000092,0.0,1.0
17.0,44.0,28.0,5.0,,,,,,,,,,,ON,1.0,ON,1.0,1970-01-01 00:00:00.000000005,0.0,1.0
25.0,22.0,24.0,43.0,,,,,,,,,,,OFF,1.0,OFF,2.0,1970-01-01 00:00:00.000000043,0.0,1.0
20.0,5.0,42.0,96.0,,,,,,,,,,,OFF,1.0,OFF,1.0,1970-01-01 00:00:00.000000096,0.0,1.0
32.0,10.0,37.0,25.0,,,,,,,,,,,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000025,0.0,1.0
1.0,41.0,27.0,61.0,,,,,,,,,,,ON,1.0,ON,1.0,1970-01-01 00:00:00.000000061,0.0,1.0
66.0,31.0,40.0,8.0,,,,,,,,,,,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000008,0.0,1.0
50.0,4.0,58.0,87.0,27.69,4.25,10.08,16.44,101.11,,,,,,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000087,0.0,1.0
10.0,40.0,35.0,83.0,,,,,,,,,,,ON,1.0,ON,2.0,1970-01-01 00:00:00.000000083,0.0,1.0
57.0,19.0,56.0,35.0,,,,,,,,,,,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000035,0.0,1.0
75.0,29.0,67.0,26.0,,,,,,,,,,,OFF,0.0,OFF,0.0,1970-01-01 00:00:00.000000026,0.0,1.0
81.0,26.0,60.0,40.0,,,,,,,,,,,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000040,0.0,1.0
79.0,45.0,61.0,38.0,,,,,,,,,,,OFF,0.0,OFF,1.0,1970-01-01 00:00:00.000000038,0.0,1.0
70.0,27.0,31.0,17.0,19.45,7.72,19.48,48.0,101.6,6.477768039,71.60102999,39.0,127.0,202.0,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000017,0.0,1.0
23.0,3.0,68.0,94.0,,,,,,,,,,,OFF,1.0,OFF,4.0,1970-01-01 00:00:00.000000094,0.0,1.0
15.0,42.0,64.0,97.0,,,,,,,,,,,OFF,1.0,OFF,0.0,1970-01-01 00:00:00.000000097,0.0,1.0
57.0,29.0,47.0,80.0,,,,,,,,,,,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000080,0.0,1.0
17.0,23.0,58.0,105.0,,,,,,,,,,,OFF,1.0,OFF,2.0,1970-01-01 00:00:00.000000105,0.0,1.0
53.73708806553905,24.639298358137847,64.4293229335557,,28.502400275958113,,52.68555345857457,,,6.720478315800271,144.1345797552172,106.0,67.0,59.0,,0.0,,,,20.0,1.0
13.362118234634806,39.65913458003865,25.321369349084097,,32.7258015498463,,34.977970239462515,,,7.452352685289256,6.7468084157851935,107.0,61.0,66.0,,1.0,,,,1.0,1.0
14.0,45.0,34.0,108.0,28.04,8.4,7.23,22.86,101.28,6.7698938,58.97878791,97.0,22.0,50.0,OFF,1.0,OFF,3.0,1970-01-01 00:00:00.000000108,0.0,1.0
45.0,33.0,24.0,25.0,,,,,,,,,,,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000025,0.0,1.0
7.0,28.0,27.0,18.0,,,,,,,,,,,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000018,0.0,1.0
74.0,3.0,32.0,41.0,,,,,,,,,,,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000041,0.0,1.0
32.0,36.0,46.0,55.0,,,,,,,,,,,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000055,0.0,1.0
21.0,17.0,67.0,21.0,19.34,7.68,71.6,44.46,101.2,,,,,,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000021,0.0,1.0
29.0,4.0,47.0,22.0,,,,,,,,,,,ON,1.0,ON,4.0,1970-01-01 00:00:00.000000022,0.0,1.0
24.0,2.0,48.0,52.0,,,,,,,,,,,OFF,1.0,OFF,1.0,1970-01-01 00:00:00.000000052,0.0,1.0
81.0,6.0,29.0,61.0,12.33,2.02,96.0,14.12,101.4,,,,,,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000061,0.0,1.0
35.0,13.0,44.0,86.0,,,,,,,,,,,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000086,0.0,1.0
5.0,20.0,29.0,98.0,,,,,,,,,,,OFF,1.0,OFF,4.0,1970-01-01 00:00:00.000000098,0.0,1.0
70.0,6.0,59.0,9.0,29.96,12.58,50.49,66.88,101.33,,,,,,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000009,0.0,1.0
36.0,43.0,55.0,28.0,,,,,,,,,,,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000028,0.0,1.0
79.0,40.0,66.0,103.0,,,,,,,,,,,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000103,0.0,1.0
56.0,35.0,25.0,23.0,,,,,,,,,,,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000023,0.0,1.0
79.0,16.0,39.0,22.0,,,,,,,,,,,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000022,0.0,1.0
80.0,37.0,52.0,20.0,,,,,,,,,,,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000020,0.0,1.0
